Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8125604,MCV2,COUNTRY,UZB,EUR,YEAR,Europe,,2003,,,,,,,,98,98.0,,,,2024-07-12T15:36:37.797+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
3111942,MCV2,REGION,AFR,,YEAR,,,2010,,,,,,,,4,4.0,,,,2024-07-12T15:36:37.797+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5374975,MCV2,COUNTRY,SGP,WPR,YEAR,Western Pacific,,2001,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
3733138,MCV2,COUNTRY,PLW,WPR,YEAR,Western Pacific,,2011,,,,,,,,83,83.0,,,,2024-07-12T15:36:37.797+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7190849,MCV2,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,2010,,,,,,,,73,73.0,,,,2024-07-12T15:36:37.797+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4280855,MCV2,COUNTRY,DZA,AFR,YEAR,Africa,,2003,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4314259,MCV2,COUNTRY,LUX,EUR,YEAR,Europe,,2014,,,,,,,,86,86.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6036059,MCV2,REGION,SEAR,,YEAR,,,2017,,,,,,,,79,79.0,,,,2024-07-12T15:36:37.797+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
3272304,MCV2,COUNTRY,MUS,AFR,YEAR,Africa,,2019,,,,,,,,99,99.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3299034,MCV2,COUNTRY,ZWE,AFR,YEAR,Africa,,2021,,,,,,,,76,76.0,,,,2024-07-12T15:36:37.797+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7037393,MCV2,REGION,WPR,,YEAR,,,2008,,,,,,,,82,82.0,,,,2024-07-12T15:36:37.797+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
480635,MCV2,COUNTRY,DEU,EUR,YEAR,Europe,,2014,,,,,,,,93,93.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3940376,MCV2,COUNTRY,MUS,AFR,YEAR,Africa,,2004,,,,,,,,80,80.0,,,,2024-07-12T15:36:37.797+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9113506,MCV2,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,,2006,,,,,,,,88,88.0,,,,2024-07-12T15:36:37.797+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4027200,MCV2,COUNTRY,SYR,EMR,YEAR,Eastern Mediterranean,,2006,,,,,,,,81,81.0,,,,2024-07-12T15:36:37.797+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7858554,MCV2,REGION,SEAR,,YEAR,,,2000,,,,,,,,3,3.0,,,,2024-07-12T15:36:37.797+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
7985326,MCV2,COUNTRY,COK,WPR,YEAR,Western Pacific,,2002,,,,,,,,61,61.0,,,,2024-07-12T15:36:37.797+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8272370,MCV2,COUNTRY,NIC,AMR,YEAR,Americas,,2019,,,,,,,,99,99.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3245572,MCV2,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,2012,,,,,,,,68,68.0,,,,2024-07-12T15:36:37.797+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5181326,MCV2,COUNTRY,SLE,AFR,YEAR,Africa,,2019,,,,,,,,72,72.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6923861,MCV2,COUNTRY,MKD,EUR,YEAR,Europe,,2002,,,,,,,,95,95.0,,,,2024-07-12T15:36:37.797+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1809945,MCV2,COUNTRY,GEO,EUR,YEAR,Europe,,2023,,,,,,,,86,86.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
